ID,all_k,rural_k,urban_k,beta
P35,0.472633673272666,0.573158478515233,0.184353854021054,1.74485100028734
P36,0.314812271932605,0.503369644550094,0.81025215636611,1.89251564199188
P37,0.148085134304625,0.149941038583743,0.154562681327717,5.903686287249
P38,0.490905900238124,1.42112799262332,0.330870913165453,4.13830015458879
P39,0.34049430273391,0.51287618222018,0.55059759757017,5.01372036372057
P40,0.127310772843643,0.751366808390726,0.134068484980276,2.95005081269806
P41,0.135652308905977,0.329293881468069,0.142241465274809,3.97045999355755
P42,0.608220856560152,0.640172504179057,0.635759888589949,2.28648020130834
P43,0.147824955312909,0.937824470067269,0.213385118412144,3.38628899863555
P44,0.29288414505853,0.142036685413425,0.603883678009321,4.68244221394448
P45,1.3529669896759,0.261057087317986,1.05444337016821,5.39106940458455
P46,0.142378368874016,0.244857780629787,0.151031627143869,4.95094830871578
P47,0.889713336595759,1.3038486329771,1.00058246575429,3.95223063975566
P48,0.45529471768525,0.229504546205619,0.26199560751518,2.53994378967872
P49,0.142505394757111,0.24530178327103,0.14892820478304,4.97746070075005
P50,0.181567740756617,0.355516342929947,0.305184200931266,5.22895313292132
P51,0.921962230615229,0.12767181505061,0.503357884261629,2.94697985924126
P52,0.426530574761166,0.130685867525988,0.546703519211864,3.26342525169697
P53,0.494791905869878,0.571092798159547,0.467509564720313,3.33863696707203
P54,0.473200850419928,0.417069027684958,0.412445002840571,3.94252720269342
P55,0.272812806991084,0.34089591236896,0.130872062674858,2.60571749997947
P56,0.42255460855792,1.41094053610214,0.759836171768101,3.56438936387175
P57,0.84514711052092,0.570944062288354,0.561398249484585,2.0818945808734
P58,0.36153538411471,0.272387665120486,0.271982107379229,6.38820286771618
P59,1.34443386200346,0.143790980890508,1.11110047601835,4.93683611793634
P60,0.140393479726101,1.24996761396326,0.240301953973395,4.64963556612225
P61,0.692250146108046,0.629887773656755,0.700286869613676,5.77860396005198
P62,1.17717497290431,0.947728303066554,1.36687296649196,4.53562654629109
P63,0.29248877621561,0.355137972397812,0.210769109866844,1.84458761323405
P64,0.63536316605851,0.849185795932596,0.798908817905512,3.79803339434516
P65,0.45182765682293,0.573531402527813,0.456981942446644,6.71390292905748
P66,0.558877939381966,0.434024595228693,0.724907783962319,3.19274761555968
P67,0.942054066498879,1.44965346390636,0.361811673770526,6.12076413679805
P68,0.454158708761655,0.204285667032329,0.189574634827908,2.14549520536913
P69,0.41877805777776,0.426913314908969,0.309372064419199,2.47694478257031
P70,1.09901281017218,0.63984279538233,1.18813739482196,2.9257455197328
P71,0.86625380970234,1.39739622814797,0.421148414778169,3.13717491746083
P72,0.169798376362253,0.296705321388995,0.143717128933261,4.17953595000565
P73,0.142416680326917,0.135795790190164,0.32431698738389,3.85541675694736
P74,0.35885140141493,0.900271965055651,0.121507058414823,1.67700278420379
P75,0.412124223007316,0.348954095631783,0.491672063041335,4.82537073445497
P76,0.391228782702024,0.393613088236102,0.351446107812402,3.42171334155046
P77,0.359305383940311,0.241634911838518,0.142984935089961,3.80187841098901
P78,0.266306639217174,0.444614852190831,0.453061559124141,6.2915014614622
P79,0.137959787670788,0.293521644863901,0.144511358444252,4.29687094071158
P81,0.223147958145705,0.47192969066917,0.453292755088609,1.42635069506638
P82,0.389574913791831,0.962950138353184,0.343712556732549,2.02162789922046
P83,1.20529011224497,1.28495746753018,1.35443729908099,5.99349349381941
P84,0.263477937666352,0.150480482991747,0.154678261722688,6.00267759660688
P85,0.129428134518329,0.667387144696701,0.28825379762168,2.79430599425084
P86,0.149173732657417,0.14985600425125,0.154116917181134,5.89902318721178
P87,0.147727848041855,0.15424487484645,0.154247080796327,5.84685969491115
P88,0.246889333878583,1.233552315081,0.29379674373135,2.89240957125302
P89,0.149742613804195,0.367011198447118,0.155764053541987,6.21098471530295
P90,0.339591396515212,0.143193652796098,0.253453124592494,4.84906470857414
P91,0.148106208355631,0.149926981455951,0.154190824486062,5.91077667461336
P92,0.449762791038045,0.458543880019258,0.457015283429844,6.49998373909104
P93,0.183074193061045,0.148022929553922,0.774653953396797,5.59293350349085
P94,0.134825082224784,1.1925322187029,1.26444853849929,3.86133908566212
P95,0.264395191654248,1.43896689637709,0.170201218343574,6.09589435473465
P96,1.15134774972006,1.4548901087352,1.39938471863047,6.70537166118457
P97,0.307123457833664,0.132518650691417,0.138404550570219,3.46467831223751
P98,0.843339810893346,0.461157802606986,1.11394392769195,4.38028638672146
P99,0.148008959271634,0.151123526793125,0.154135992290854,5.89863386662469
